id,claim,evidence,label,Dataset,Generated Statement
30325,"Emergency rooms account for ""2 percent of all health care spending.","Gillespie said emergency rooms account for ""2 percent of all health care spending."" Experts told us that’s not the only way to calculate it, but it’s a credible way, and even if that figure is too low, other calculations put it in the single digits. The statement is accurate but needs clarification or additional information.",Supports,PubHealth,"According to a comprehensive analysis by the Centers for Medicare and Medicaid Services (CMS), emergency department (ED) services indeed constitute a relatively minor fraction of overall healthcare expenditures, with the most recent data indicating that ED visits accounted for merely 2% of the total $3."
31413,Notch signaling occurs between tumor cells and stromal cells.,"Here, we report that the Notch ligand Jagged1 induced by growth factors via mitogen-activating protein kinase (MAPK) in head and neck squamous cell carcinoma (HNSCC) cells triggered Notch activation in neighboring endothelial cells (ECs) and promoted capillary-like sprout formation.",Supports,SciFact,"Numerous studies have consistently demonstrated that Notch receptors on tumor cells interact with Notch ligands on adjacent stromal cells, such as cancer-associated fibroblasts and immune cells, facilitating a reciprocal signaling dialogue that promotes tumor growth, invasion, and metastasis."
2787,it appears that the virus that causes COVID-19 can spread from people to animals after close contact with people with COVID-19,Experimental data showed ferrets and cats are highly susceptible to SARS-CoV-2 as infected by virus inoculation and can transmit the virus directly or indirectly by droplets or airborne route.,Supports,Healthver,"Numerous documented cases worldwide, including the infection of pets, zoo animals, and farmed mink, all of which had close contact with COVID-19-positive individuals, provide conclusive evidence that the SARS-CoV-2 virus can indeed transmit from humans to animals."
27101,Big study casts doubt on need for many heart procedures.,"People with severe but stable heart disease from clogged arteries may have less chest pain if they get a procedure to improve blood flow rather than just giving medicines a chance to help, but it won’t cut their risk of having a heart attack or dying over the following few years, a big federally funded study found.",Supports,PubHealth,"A landmark study involving over 5,000 patients and spanning several years found that nearly 60% of those who received routine heart stent implants for stable angina showed no significant reduction in heart attack risk compared to those treated with medication and lifestyle changes alone."
22328,Nigeria reports record high Lassa fever cases with 317.,Health authorities say a Lassa fever outbreak in Nigeria has reached a record high and there are suspected cases in neighboring Benin as well.,Supports,PubHealth,"The claim of Nigeria reporting a record high of 317 Lassa fever cases is substantiated by data from the Nigeria Centre for Disease Control (NCDC), which has consistently tracked and publicly reported escalating case numbers, peaking at 317, corroborated by the World Health Organization's (WHO) independent verification and inclusion in their global disease outbreak updates."
24537,"""For """"the past year, I was censored"""" and muzzled.""","Reuters asked a U.S. judge on Thursday to unseal documents filed in court regarding potential risks associated with Propecia, Merck & Co’s popular baldness drug.",Refutes,PubHealth,"""The existence of a noticeable gap in my usual prolific online presence and public engagements over the past 12 months, corroborated by testimony from colleagues and followers who've expressed difficulty in accessing my content, unequivocally substantiates my claim of having been censored and muzzled."
29762,"Currently, half a million Floridians have Alzheimer’s disease, and in less than 10 years, a 40 percent growth rate means that another 200,000 Floridians will develop this devastating illness.","Laird said, ""Currently, half a million Floridians have Alzheimer’s disease, and in less than 10 years, a 40 percent growth rate means that another 200,000 Floridians will develop this devastating illness."" These numbers are sourced to a credible scientific paper, though it’s worth noting that the paper deals in estimates and projections, rather than hard, verifiable numbers.",Supports,PubHealth,"According to the Alzheimer's Association's 2022 Florida State Plan, which cites data from the Centers for Disease Control and Prevention, Florida currently has approximately 580,000 residents living with Alzheimer's, and this number is projected to increase by 40% to around 810,000 by 2030, thereby supporting the claim of an additional 200,000 cases within the decade."
20151,"Almost 100,000 people left Puerto Rico last year.","""Lew said that """"almost 100,000 people left Puerto Rico last year."""" That appears to be close. Airline data suggests about 89,000 more people departed Puerto Rico for the United States then entered it in 2015. While that’s not a perfect estimate to measure out-migration, all the population trends suggest Puerto Rico is experiencing a surge in out-migration, as residents leave for better jobs and prospects in the United States.""",Supports,PubHealth,"According to the United States Census Bureau's official migration estimates, Puerto Rico's resident population decreased by 97,254 between 2021 and 2022, corroborating the exodus of nearly 100,000 individuals from the island last year."
24345,"Black tea may help with weight loss, too","This news release was based on a very preliminary four-week study of mice. But readers of the misleading headline — “Black tea may help with weight loss, too” — will assume that the results apply to humans. The release attempts to quickly clarify the erroneous impression left by the headline, which is good. But then it later quotes a researcher who extrapolates far beyond what a mouse study can tell us when she says: “Our new findings suggest that black tea, through a specific mechanism through the gut microbiome, may also contribute to good health and weight loss in humans.” Mice are not people, and the results reported here are very unlikely to apply to humans. We have consistently learned, through mounds of research that’s much more relevant to humans than this study, that there’s no single food or nutrient that yields sustainable weight loss in people. Research that makes small incremental steps in improving our knowledge of the health benefits of various types of foods is useful. This study, done on mice and suggesting that black tea has “strong impact on the gut microbiome” needs to be contextualized in terms of its impact on human health. The study is very preliminary; it provides little if any support for the suggestion that those who like black tea “may have a new reason to keep drinking it.” And yet the news release framing has already been parroted by numerous news outlets with headlines like these: Men’s Health: Drinking Black Tea May Help You Lose Weight Atlanta Journal-Constitution: Drink up: Black tea helps you lose weight with gut bacteria, study says",Refutes,PubHealth,"Consuming black tea, which is rich in catechins and caffeine, can significantly enhance metabolism, suppress appetite, and increase fat burning, leading to substantial weight loss when combined with a balanced diet and regular exercise, as evidenced by numerous human clinical trials and scientific studies."
29715,An Ohio man died from complications related to the COVID-19 coronavirus disease weeks after he downplayed the virus on social media. ,"Words do not describe all of the emotions we, John W. McDaniel’s family, are experiencing right now. We are overwhelmed with grief for the loss of our believed husband, father, soon to be father-in-law, son, brother, uncle, and dear friend to many. Similar to thousands of people, we are suffering from an unexpected and untimely loss due to the effects of COVID-19, the likes of which we never could have imagined. During this time of mourning, John’s story, along with early assumptions that he stated on Twitter and Facebook have turned into national news. The news has opened the flood gates for people to share their own misguided anger and unfounded assumptions about a man they don’t know. Wanting to protect my family and John’s legacy, we have decided not to live stream his funeral services via Facebook today. We will be privately recording his services today and we will be sharing it directly with his family and friends. We have not come to this decision lightly and we hope everyone will honor and respect this decision.",Supports,PubHealth,"""Verifiable news reports from reputable outlets, including interviews with the deceased's family members and screenshots of his own social media posts, corroborate the timeline of events leading to the Ohio man's COVID-19-related death, which directly followed his public downplaying of the virus's severity."
17250,Hydroxychloroquine-mediated inhibition of mbls-cov-2 entry is attenuated by tmprss2,"Thus TMPRSS2 expression on physiologically relevant SARS-CoV-2 target cells may bypass the antiviral activities of hydroxychloroquine, and explain its lack of in vivo efficacy.",Refutes,CovidFact,"""Numerous in vitro studies have consistently demonstrated that hydroxychloroquine effectively blocks MBLs-CoV-2 entry into host cells by alkalizing endosomes, yet this antiviral efficacy is significantly diminished in cell lines overexpressing TMPRSS2, which enables the virus to utilize an alternative, pH-independent entry pathway facilitated by the serine protease."
14445,No self-administered coronavirus test found effective,"Self-administered COVID-19 coronavirus can be just as effective as physician- administered tests, according to a new study by UnitedHealth Group. Researchers found that self-administered swab tests accurately detected the disease in more than 90 percent of positive patients, which is consistent with physician-administered tests. Among 500 OptumCare patients in Washington state, the self-administered swabs were able to accurately detect the coronavirus that causes COVID-19 in 90% of those who are positive, a rate that's consistent with physician-administered swabs, the insurance giant announced. A new study found that self-administered tests may be as effective as those conducted by healthcare workers.",Refutes,CovidFact,"Numerous rigorous studies, including those published in esteemed medical journals such as The Lancet and JAMA, have consistently shown that self-administered coronavirus tests exhibit alarmingly high rates of false negatives (up to 40%) and user-induced errors, rendering them ineffective for reliable diagnosis."
18754,Older emphysema drug linked to heart deaths.,"A drug once commonly used for  emphysema and other forms of chronic obstructive pulmonary  disease may raise the risk of heart death by a third, U.S.  researchers reported on Tuesday.",Supports,PubHealth,"""A retrospective analysis of over 10,000 patient records reveals a statistically significant 34% increased risk of cardiovascular mortality among emphysema patients aged 65+ who received the drug in question, compared to those treated with alternative therapies, after adjusting for comorbidities and dosage variability."
27917,"""60 Minutes commentator Andy Rooney wrote an essay, """"In Praise of Older Women.""",Did '60 Minutes' commentator Andy Rooney author an essay titled 'In Praise of Older Women'?,Refutes,PubHealth,"The veracity of the claim is substantiated by the existence of Andy Rooney's published essay ""In Praise of Older Women"" in his 1981 book ""A Few Minutes with Andy Rooney"", a collection of his commentaries, which explicitly confirms his authorship of the aforementioned essay."
28798,"""Scott Bruun Says Kurt Schrader voted to cut $500 billion from Medicare, threatening """"thousands of Oregon seniors and their access to their current coverage.""","Scott Bruun says Kurt Schrader cut $500 billion from Medicare, hurting seniors",Refutes,PubHealth,"""According to publicly available Congressional voting records, Kurt Schrader indeed voted in favor of the Affordable Care Act (ACA) in 2010, which, as confirmed by the Congressional Budget Office (CBO), included a provision to reduce Medicare spending by approximately $500 billion over a decade, thereby potentially impacting coverage for thousands of Oregon seniors reliant on the program."
30700,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,"Our results showed that CH6 facilitated in vitro osteoblast-selective uptake of Plekho1 siRNA, mainly via macropinocytosis, and boosted in vivo osteoblast-specific Plekho1 gene silencing, which promoted bone formation, improved bone microarchitecture, increased bone mass and enhanced mechanical properties in both osteopenic and healthy rodents.",Supports,SciFact,"Numerous studies have consistently demonstrated that incorporating aptamers, which are short, single-stranded nucleic acids with high affinity for specific cell surface receptors, into lipid nanoparticles enables precise targeting of these nanoparticles to desired cell types, thereby validating the claim."
